"species_code","common_name","scientific_name","bird_group","status_note","brief_description"
"PETROCHELIDON_PYRRHONOTA","Cliff Swallow","Petrochelidon pyrrhonota","Martins and Swallows","No special state or federal status code shown","Martins and Swallows. Range: breeds in canyons, embankments, cliffs, and urban areas, especially on bridges, from western and central Alaska eastwards to Nova Scotia (southeastern Canada), southwards to northern Baja California, central Oaxaca (northwestern and southern Mexico), and east-central USA, with scattered colonies on Atlantic and Gulf coasts of USA, and in east-central Argentina; winters from eastern Paraguay and southern Brazil (Mato Grosso do Sul eastward to Minas Gerais) southwards to central Argentina (Buenos Aires) Indiana listing: No special state or federal status code shown."
"GRUS_GRUS","Common Crane","Grus grus","Cranes","No special state or federal status code shown","Cranes. Range: breeds northern Eurasia; winters to northern Africa, southern India, and southeastern Asia Indiana listing: No special state or federal status code shown."
"GALLINULA_GALEATA","Common Gallinule","Gallinula galeata","Rails, Gallinules, and Coots","Indiana State Endangered","Rails, Gallinules, and Coots. Range: breeds southwestern USA and southeastern Canada southward to the West Indies, Venezuela, Trinidad, and the Guianas, northern Argentina, Uruguay, and Brazil; northern populations move southward in winter Indiana listing: Indiana State Endangered."
"BUCEPHALA_CLANGULA","Common Goldeneye","Bucephala clangula","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds subarctic from Scotland and Scandinavia to Sakhalin and Kamchatka (southeastern Russia), in south through northern Kazakhstan, northern Mongolia, and Heilongjiang (northeastern China); western Alaskan mainland to Labrador and New Brunswick, in south through northern tier of contiguous USA; winters to southern Europe, eastern China, and middle tier of USA Indiana listing: No special state or federal status code shown."
"QUISCALUS_QUISCULA","Common Grackle","Quiscalus quiscula","Blackbirds and Orioles","No special state or federal status code shown","Blackbirds and Orioles. Range: varied open habitats from forest borders and open woodland to marshes and fields from Northwest Territories eastward to Newfoundland (north-central to northeastern Canada), southwards from central New Mexico to southern Florida; resident in southern two-thirds of range, with northern birds moving southward Indiana listing: No special state or federal status code shown."
"COLUMBINA_PASSERINA","Common Ground Dove","Columbina passerina","Pigeons and Doves","No special state or federal status code shown","Pigeons and Doves. Range: coastal southeastern USA (South Carolina to Florida and southeastern Texas) and arid southwestern USA through Caribbean to far southern Venezuela, the Guianas, and eastern Brazil Indiana listing: No special state or federal status code shown."
"GAVIA_IMMER","Common Loon","Gavia immer","Loons","No special state or federal status code shown","Loons. Range: breeds in southern Greenland, Iceland, and northern North America southward to northern tier of US states; winters from Iceland and Scandinavia southward to the Iberian Peninsula and from southern Alaska and the Maritime Provinces (Canada) southward to northern Mexico Indiana listing: No special state or federal status code shown."
"MERGUS_MERGANSER","Common Merganser","Mergus merganser","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds Iceland, northern and central Europe, subarctic Russia through northeastern Kazakhstan, and northeastern Afghanistan through Tibet and western China, northern Mongolia to Kamchatka, Hokkaido (northern Japan) and northeastern China; southwestern Alaska mainland through subarctic Canada to Newfoundland, southward through western USA and to northern Great Lakes; winters to central Europe and eastern China, and to southern California and Maryland Indiana listing: No special state or federal status code shown."
"CHORDEILES_MINOR","Common Nighthawk","Chordeiles minor","Nighthawks and Nightjars","Indiana Special Concern","Nighthawks and Nightjars. Range: breeds central and southern Canada to Panama; winters to southern South America Indiana listing: Indiana Special Concern."
"CORVUS_CORAX","Common Raven","Corvus corax","Jays, Magpies, Crows, and Ravens","No special state or federal status code shown","Jays, Magpies, Crows, and Ravens. Range: Holarctic, from Arctic Circle southward in mountains of Old World to northern Africa, Middle East, northern Indian Subcontinent, and the Kurile Islands; in the New World southward in mountains to northwestern Nicaragua and northern Georgia (southeastern USA) Indiana listing: No special state or federal status code shown."
"ACANTHIS_FLAMMEA","Common Redpoll","Acanthis flammea","Finches","No special state or federal status code shown","Finches. Range: Range context unavailable in the matched Cornell record. Indiana listing: No special state or federal status code shown."
"STERNA_HIRUNDO","Common Tern","Sterna hirundo","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: widespread, subarctic, temperate, and locally tropical Northern Hemisphere; winters coastally to southern Africa, western Madagascar, southern Australia, and southeastern South America Indiana listing: No special state or federal status code shown."
"GEOTHLYPIS_TRICHAS","Common Yellowthroat","Geothlypis trichas","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds thickets mainly in wetlands and prairies from far southern Alaska to eastern Canada and southwards across most of the USA to northern Baja California and south-central Mexico; resident in southern USA; winters in southeastern Texas through Mexico, including southern Baja California, southwards to central Panama, and in the Bahamas and Greater Antilles Indiana listing: No special state or federal status code shown."
"OPORORNIS_AGILIS","Connecticut Warbler","Oporornis agilis","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds locally from northeastern British Columbia and southwestern Northwest Territories, eastward to west-central Quebec and south to the northern Great Lakes region of the United States; wintering range poorly known but evidently mainly southern edge of Amazon Basin Indiana listing: No special state or federal status code shown."
"ASTUR_COOPERII","Cooper's Hawk","Astur cooperii","Kites, Eagles, and Hawks","No special state or federal status code shown","Kites, Eagles, and Hawks. Range: woodland of southern Canada and USA; winters to Central America Indiana listing: No special state or federal status code shown."
"CARACARA_PLANCUS","Crested Caracara","Caracara plancus","Falcons and Caracaras","No special state or federal status code shown","Falcons and Caracaras. Range: southern USA (Arizona to Texas; Florida) and Mexico (including the Tres Mar<U+00ED>as Islands) southward to Tierra del Fuego and the Falkland Islands Indiana listing: No special state or federal status code shown."
"CALIDRIS_FERRUGINEA","Curlew Sandpiper","Calidris ferruginea","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds drier tundra from Yamal Peninsula to northwestern Chukotskiy Peninsula (northwestern to northeastern Siberia), including New Siberian Islands; winters southern Europe and Africa eastward through southern Asia to Taiwan and Philippines and southward to Melanesia; prone to extreme vagrancy Indiana listing: No special state or federal status code shown."
"JUNCO_HYEMALIS","Dark-eyed Junco","Junco hyemalis","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds in varied (often coniferous) forest, woodland, and shrubland from northeastern Alaska eastwards to Newfoundland and Labrador (northeastern Canada) southwards to northern Baja California and New Mexico, and in northeastern USA southwards in the Appalachian mountains to northernmost Georgia; winters from south-central Canada southwards to northern Baja California and Durango (central Mexico), and in eastern USA southwards to the Gulf coast and northern Florida Indiana listing: No special state or federal status code shown."
"SPIZA_AMERICANA","Dickcissel","Spiza americana","Tanagers, Cardinals, and Grosbeaks","No special state or federal status code shown","Tanagers, Cardinals, and Grosbeaks. Range: breeds eastern North America; winters to southern Mexico to northern South America Indiana listing: No special state or federal status code shown."
"NANNOPTERUM_AURITUM","Double-crested Cormorant","Nannopterum auritum","Cormorants","No special state or federal status code shown","Cormorants. Range: widespread coastal and inland temperate and subtropical North America from eastern Aleutian Islands and Gulf of St. Lawrence to southern Baja California, Yucatan Peninsula, Cuba, and Bahamas Indiana listing: No special state or federal status code shown."
"DRYOBATES_PUBESCENS","Downy Woodpecker","Dryobates pubescens","Woodpeckers","No special state or federal status code shown","Woodpeckers. Range: mostly deciduous woodland in North America from western Alaska southward across Canada and the US southward to northern Baja California Norte, in Mexico, southern Texas and southern Florida, and eastward across Canada to the provinces of Newfoundland and Nova Scotia Indiana listing: No special state or federal status code shown."
"CALIDRIS_ALPINA","Dunlin","Calidris alpina","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds low (locally high) Arctic to temperate wet tundra of Holarctic, from southwestern and northeastern Greenland, Iceland, Faroe Islands, northern British Isles, Scandinavia, Baltic region east through northern Russia including Novaya Zemlya (north of northwestern Siberia) and New Siberian Islands (north of east-central Russia), through Chukotskiy Peninsula, western Kamchatka, northern Kurile and northern Sakhalin islands (eastern Russia); Aleutian Islands, western and northern Alaska and northwestern Canada, and north-central Canada north and west of Hudson Bay; winters coastal and inland wetlands from temperate to tropical zones mainly north of Equator, from British Isles, western Europe, Mediterranean, northern and north-central Africa, Middle East, northern Indian subcontinent to northern Vietnam and eastern China, Taiwan, Korean Peninsula, and Japan (except northern); southwestern Canada and New England to west-central Mexico and Yucatan Peninsula Indiana listing: No special state or federal status code shown."
"PODICEPS_NIGRICOLLIS","Eared Grebe","Podiceps nigricollis","Grebes","No special state or federal status code shown","Grebes. Range: breeds temperate Eurasia to Russian Far East and northeastern China; eastern and southern Africa; southwestern Canada and western and west-central USA to central Mexico; winters to coasts of northern Africa, Arabian Peninsula, Black and Caspian seas, northwestern Indian subcontinent, southeastern China, Korean Peninsula, and Japan; southern Mexico and east-central USA Indiana listing: No special state or federal status code shown."
"SIALIA_SIALIS","Eastern Bluebird","Sialia sialis","Thrushes","No special state or federal status code shown","Thrushes. Range: disjunctly in varied habitats from orchards to pine savanna, from eastern Saskatchewan eastwards to Nova Scotia (south-central to southeastern Canada), southwards in east-central and eastern USA to southern Texas, the Gulf coast, and southern Florida, Bermuda, and mountains from southern Arizona and Mexico to northeastern Nicaragua; some winter withdrawal from far north of range Indiana listing: No special state or federal status code shown."
"TYRANNUS_TYRANNUS","Eastern Kingbird","Tyrannus tyrannus","Flycatchers","No special state or federal status code shown","Flycatchers. Range: breeds eastern North America; winters mainly western Amazon basin Indiana listing: No special state or federal status code shown."
"STURNELLA_MAGNA","Eastern Meadowlark","Sturnella magna","Blackbirds and Orioles","No special state or federal status code shown","Blackbirds and Orioles. Range: varied grassland and savanna habitats from southeastern Canada and north-central and northeastern USA southwards to the Gulf coast and southern Florida, Cuba, from southern Texas southwards in eastern Mexico locally to northern and central Colombia and Venezuela, the tepuis of southern Venezuela, northern Brazil (Roraima), and adjacent Guyana, and in northern Guianas eastwards to northeastern Brazil (Amap<U+00E1> and northern Par<U+00E1>); withdraws from northern tier of range in winter Indiana listing: No special state or federal status code shown."
"SAYORNIS_PHOEBE","Eastern Phoebe","Sayornis phoebe","Flycatchers","No special state or federal status code shown","Flycatchers. Range: breeds eastern Canada and USA; winters to southeastern Mexico Indiana listing: No special state or federal status code shown."
"MEGASCOPS_ASIO","Eastern Screech-Owl","Megascops asio","Typical Owls","No special state or federal status code shown","Typical Owls. Range: various forest and woodland habitats in central and eastern US and far southern Canada (in the provinces of Manitoba, adjacent Saskatchewan, Ontario and Quebec) southward to southern Florida, southern Texas and northeastern Mexico (southward to northernmost San Luis Potosi and southern Tamaulipas); in US west to the Rocky Mountains in central Montana  Indiana listing: No special state or federal status code shown."
"PIPILO_ERYTHROPHTHALMUS","Eastern Towhee","Pipilo erythrophthalmus","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds in varied dense, shrubby, semi-humid to xeric habitats with open canopy from southeastern Saskatchewan eastwards to Quebec, (south-central to southeastern Canada), southwards to southeastern Texas and southern Florida; resident in southern half of range, some wintering to southern Texas Indiana listing: No special state or federal status code shown."
"ANTROSTOMUS_VOCIFERUS","Eastern Whip-poor-will","Antrostomus vociferus","Nighthawks and Nightjars","Indiana Special Concern","Nighthawks and Nightjars. Range: breeds southern Canada and eastern USA; winters to Cuba and western Panama Indiana listing: Indiana Special Concern."
"CONTOPUS_VIRENS","Eastern Wood-Pewee","Contopus virens","Flycatchers","No special state or federal status code shown","Flycatchers. Range: breeds eastern North America; winters to northern Bolivia and western Brazil Indiana listing: No special state or federal status code shown."
"STREPTOPELIA_DECAOCTO","Eurasian Collared-Dove","Streptopelia decaocto","Pigeons and Doves","Exotic or introduced","Pigeons and Doves. Range: Europe to Middle East, India, Sri Lanka, western China, and Korea; introduced in North America, and occurs in the USA (except northeastern), southern Canada (except eastern) and southern Alaska, the West Indies, and northern Mexico locally to southern Mexico Indiana listing: Exotic or introduced."
"PASSER_MONTANUS","Eurasian Tree Sparrow","Passer montanus","Old World Sparrows","Exotic or introduced","Old World Sparrows. Range: Eurasia, southeastern Asia, Malay Peninsula, Indonesian Archipelago, and Philippines Indiana listing: Exotic or introduced."
"MARECA_PENELOPE","Eurasian Wigeon","Mareca penelope","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds northern and central Eurasia; winters to northern Africa and southern and southeastern Asia; frequent vagrant to North America Indiana listing: No special state or federal status code shown."
"STURNUS_VULGARIS","European Starling","Sturnus vulgaris","Starlings","Exotic or introduced","Starlings. Range: breeds Britain and Scandinavia to central Europe, southern Siberia, northern Mongolia, Pakistan, and western Himalayas; northern populations winter to south Indiana listing: Exotic or introduced."
"HESPERIPHONA_VESPERTINA","Evening Grosbeak","Hesperiphona vespertina","Finches","No special state or federal status code shown","Finches. Range: breeds in conifer forest and pine-oak woodland from southern Yukon eastwards to Newfoundland (northwestern to eastern Canada) southwards to northern USA, in western USA southwards in mountains to eastern California and New Mexico, and in Mexicon mountains to Durango, and (rare) in the volcanic belt of central Mexico to northern Oaxaca; winters irruptively from south-central Canada southwards to south-central USA  Indiana listing: No special state or federal status code shown."
"BUTEO_REGALIS","Ferruginous Hawk","Buteo regalis","Kites, Eagles, and Hawks","No special state or federal status code shown","Kites, Eagles, and Hawks. Range: prairies and plains of southern Canada to northern Mexico Indiana listing: No special state or federal status code shown."
"SPIZELLA_PUSILLA","Field Sparrow","Spizella pusilla","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds southeastern Canada to central and eastern USA; winters to northeastern Mexico Indiana listing: No special state or federal status code shown."
"CORVUS_OSSIFRAGUS","Fish Crow","Corvus ossifragus","Jays, Magpies, Crows, and Ravens","No special state or federal status code shown","Jays, Magpies, Crows, and Ravens. Range: eastern USA (New England to eastern Texas) Indiana listing: No special state or federal status code shown."
"TYRANNUS_SAVANA","Fork-tailed Flycatcher","Tyrannus savana","Flycatchers","No special state or federal status code shown","Flycatchers. Range: southern Mexico (Veracruz) to Colombia, the Guianas, and northern Brazil disjunctly to central Argentina; southern populations migratory Indiana listing: No special state or federal status code shown."
"STERNA_FORSTERI","Forster's Tern","Sterna forsteri","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds inland central Alberta eastward to central Manitoba (south-central Canada) patchily southward to northern Baja California (northwestern Mexico), Colorado, and the Great Lakes, also North Atlantic coast from New Jersey to North Carolina, and Gulf coast southward to northern Tamaulipas (northeastern Mexico); winters to Gulf coast, Bahamas, Cuba, and southern Mexico Indiana listing: No special state or federal status code shown."
"PASSERELLA_ILIACA","Fox Sparrow","Passerella iliaca","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds in shrubby woodland borders, thickets, and forest from northern Alaska including the eastern Aleutian Islands eastwards to Newfoundland (northeastern Canada), southwards in western USA to central California and western Utah, and in eastern USA southwards to northernmost Maine; winters along the Pacific coast from southwestern Canada southwards to northern tier of Mexican states, Atlantic coast from eastern Canada southwards to northern Florida, and in southeastern USA southwards to the Gulf coast and northern Florida  Indiana listing: No special state or federal status code shown."
"LEUCOPHAEUS_PIPIXCAN","Franklin's Gull","Leucophaeus pipixcan","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds prairie marshes of western and northern Alberta eastward to southwestern Manitoba, and southward from east-central Oregon to northwestern Minnesota; winters coasts from Ecuador (including Galapagos) to central Chile Indiana listing: No special state or federal status code shown."
"DENDROCYGNA_BICOLOR","Fulvous Whistling-Duck","Dendrocygna bicolor","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: eastern Africa, Madagascar, and southern Asia; disjunctly southern USA to Argentina Indiana listing: No special state or federal status code shown."
"MARECA_STREPERA","Gadwall","Mareca strepera","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds temperate Holarctic; winters to northern Africa, southern Asia, and southern Mexico; formerly Line Islands, where extinct since c. 1874 Indiana listing: No special state or federal status code shown."
"LARUS_HYPERBOREUS","Glaucous Gull","Larus hyperboreus","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: circumpolar breeder on (mostly) high Arctic coasts; winters coasts of Hudson Bay to northeastern Canada, Greenland, Iceland, northwestern Europe (northern North Atlantic); Sea of Okhotsk, Japan, southwestern Alaska, and southwestern Canada; widely vagrant farther south and inland Indiana listing: No special state or federal status code shown."
"PLEGADIS_FALCINELLUS","Glossy Ibis","Plegadis falcinellus","Ibises and Spoonbills","No special state or federal status code shown","Ibises and Spoonbills. Range: locally in eastern North and southern South America, Africa, Eurasia, and southern Asia to Australasia Indiana listing: No special state or federal status code shown."
"AQUILA_CHRYSAETOS","Golden Eagle","Aquila chrysaetos","Kites, Eagles, and Hawks","No special state or federal status code shown","Kites, Eagles, and Hawks. Range: northern British Isles and Scandinavia southward to Iberian Peninsula and northwestern Africa, eastward through Arabian Peninsula, central Asia, and Himalayas to Kamchatka and Korean peninsulas and Japan, and Alaska to west-central Mexico and coastal northeastern USA Indiana listing: No special state or federal status code shown."
"REGULUS_SATRAPA","Golden-crowned Kinglet","Regulus satrapa","Kinglets","No special state or federal status code shown","Kinglets. Range: breeds in mature coniferous and mixed forest from southwestern Alaska and southern Yukon eastwards to Newfoundland (northwestern to northeastern Canada), southwards to southern California and inland to western Colorado and western New Mexico, in east from Great Lakes region and southwards in the Appalachians mountains to northeastern Georgia, and in the volcanic belt of central Mexico and in mountains of southeastern Mexico and southern Guatemala, with isolated breeding populations elsewhere in eastern USA; winters at lower elevations in southern Canada, most USA southwards to far northern Baja California, northeastern Mexico, Gulf coast, and central Florida Indiana listing: No special state or federal status code shown."
"ZONOTRICHIA_ATRICAPILLA","Golden-crowned Sparrow","Zonotrichia atricapilla","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds Alaska and western Canada; winters to Sonora and Baja California Indiana listing: No special state or federal status code shown."
"VERMIVORA_CHRYSOPTERA","Golden-winged Warbler","Vermivora chrysoptera","New World Warblers","Indiana State Endangered","New World Warblers. Range: breeds eastern North America; winters Guatemala to northwestern South America and Greater Antilles Indiana listing: Indiana State Endangered."
"AMMODRAMUS_SAVANNARUM","Grasshopper Sparrow","Ammodramus savannarum","Sparrows","Indiana Special Concern","Sparrows. Range: breeds short-grass prairies, grasslands, and shrubby savanna from southern British Columbia eastwards to southern Quebec and southward in western USA to southern California, and from western Texas eastward to central Florida, and very locally in interior western USA, southern Mexico through central Panama, Jamaica, Hispaniola, and Puerto Rico, and Cura<U+00E7>ao and Bonaire, and in dry montane valleys in central to southern Colombia and (formerly) northern Ecuador; northern populations winter in southern USA southwards to southern Honduras and El Salvador, and Cuba Indiana listing: Indiana Special Concern."
"DUMETELLA_CAROLINENSIS","Gray Catbird","Dumetella carolinensis","Mockingbirds and Thrashers","No special state or federal status code shown","Mockingbirds and Thrashers. Range: breeds southern British Columbia to Gulf States; winters to West Indies and Panama Indiana listing: No special state or federal status code shown."
"TYRANNUS_DOMINICENSIS","Gray Kingbird","Tyrannus dominicensis","Flycatchers","No special state or federal status code shown","Flycatchers. Range: breeds open areas of southeastern USA along eastern Gulf Coast and Florida, throughout Caribbean, including northern Venezuela, Aruba to Bonaire (former Netherlands Antilles), and Trinidad and Tobago; winters in southern Caribbean and northern South America mainly north and west of Amazonia Indiana listing: No special state or federal status code shown."
"CATHARUS_MINIMUS","Gray-cheeked Thrush","Catharus minimus","Thrushes","No special state or federal status code shown","Thrushes. Range: breeds in riparian woodland and thickets, and open woodland with shrubs in Chukotskiy Peninsula and Anadyrland (northeastern Siberia), northern Alaska eastwards to Labrador (eastern Canada), and southwards to central Canada; winters in humid forest of northern Andes and northwestern Amazonia, mainly from western Venezuela southwards to northeastern Peru Indiana listing: No special state or federal status code shown."
"LARUS_MARINUS","Great Black-backed Gull","Larus marinus","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds North Atlantic coasts, from southern Greenland and Iceland to Svalbard and Baltic states, and coastal and inland northeastern Canada to Great Lakes and Atlantic coast southward to New Jersey; winters to coastal southwestern Europe and coastal Florida Indiana listing: No special state or federal status code shown."
"ARDEA_HERODIAS","Great Blue Heron","Ardea herodias","Bitterns, Herons, and Egrets","No special state or federal status code shown","Bitterns, Herons, and Egrets. Range: southeastern Alaska and southern Canada to southern Baja California and Central America, Galapagos, and islands off Venezuela Indiana listing: No special state or federal status code shown."
"MYIARCHUS_CRINITUS","Great Crested Flycatcher","Myiarchus crinitus","Flycatchers","No special state or federal status code shown","Flycatchers. Range: breeds southeastern Canada to Gulf States; winters to northwestern South America Indiana listing: No special state or federal status code shown."
"ARDEA_ALBA","Great Egret","Ardea alba","Bitterns, Herons, and Egrets","Indiana Special Concern","Bitterns, Herons, and Egrets. Range: central Europe to central Asia (southward to Iran), sub-Saharan Africa and Madagascar, southern Asia from Pakistan eastward in sub-Himalayan region to southeastern Russia and Japan, southward to Indonesia, Australia (including Tasmania but not western deserts), and New Zealand (very local), and southern Canada to Tierra del Fuego and West Indies Indiana listing: Indiana Special Concern."
"BUBO_VIRGINIANUS","Great Horned Owl","Bubo virginianus","Typical Owls","No special state or federal status code shown","Typical Owls. Range: various forest types from deciduous to coniferous, paramo and puna grassland, swamps and meadows from northern Alaska (US) and northern Canada southward to northern Nicaragua and westernmost Costa Rica; northern Colombia and northern Venezuela eastward to northeastern Brazil, in Amap<U+00E1>, and southward in the Guianan Shield to western Guyana, southern Venezuela and northern Brazil; in the Andes from western Venezuela southward to northern Peru, and in interior Brazil from southern Piau<U+00ED> southwest and southward across Paraguay and Uruguay to north-central Argentina, southward to the provinces of Buenos Aires, C<U+00F3>rdoba and San Luis; also westward to eastern and northern Bolivia and adjacent southeastern Peru Indiana listing: No special state or federal status code shown."
"PITANGUS_SULPHURATUS","Great Kiskadee","Pitangus sulphuratus","Flycatchers","No special state or federal status code shown","Flycatchers. Range: arid forest, humid forest edge, gallery woodland, marshes, degraded land, and towns from southern Sonora and southern Texas southwards along the Pacific and Gulf slopes of Mexico (including the Yucatan Peninsula, Cozumel, and Coiba) to western Venezuela, Trinidad, and northern Colombia westwards to the headwaters of the Rio Cauca and Rio Magdalena, and widespread east of the Andes (except in closed rainforest) southwards to central Argentina (Neuqu<U+00E9>n and Chubut); introduced to Bermuda Indiana listing: No special state or federal status code shown."
"QUISCALUS_MEXICANUS","Great-tailed Grackle","Quiscalus mexicanus","Blackbirds and Orioles","No special state or federal status code shown","Blackbirds and Orioles. Range: varied open habitats, including forest edge, prairies, deserts, mangroves, and cities, from southeastern Oregon eastwards to central Iowa (and expanding northward), and southwards across central and western USA through Mexico (but rare Baja California) and Central America to northern Colombia and western Venezuela, and from western Colombia southwards to northwestern Peru (spreading southward in interior Colombia and to southwestern Ecuador, and also spreading in Greater Antilles) Indiana listing: No special state or federal status code shown."
"AYTHYA_MARILA","Greater Scaup","Aythya marila","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds subarctic Iceland and Scandinavia to Kamchatka and the Commander Islands (southeastern Russia); Alaska to northern Quebec (eastern Canada); winters to coasts of northwestern and east-central Europe, Black and Caspian seas, eastern China, Korean Peninsula, Japan, and Taiwan; central California, Great Lakes, and North Carolina (southwestern to east-central USA) Indiana listing: No special state or federal status code shown."
"ANSER_ALBIFRONS","Greater White-fronted Goose","Anser albifrons","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: Holarctic, breeding in southwestern Greenland, northern Russia to Chukotskiy Peninsula, and northern Alaska to west of Hudson Bay; winters to southern Europe, Middle East, eastern China, Korean Peninsula, Japan, and southwestern and southeastern USA and northern Mexico Indiana listing: No special state or federal status code shown."
"TRINGA_MELANOLEUCA","Greater Yellowlegs","Tringa melanoleuca","Sandpipers and Phalaropes","Indiana Special Concern","Sandpipers and Phalaropes. Range: breeds taiga muskeg from southern Alaska eastward through southern tier of Canadian provinces to eastern Labrador (eastern Canada); winters wetlands of southern USA and throughout Caribbean southward to Tierra del Fuego Indiana listing: Indiana Special Concern."
"BUTORIDES_VIRESCENS","Green Heron","Butorides virescens","Bitterns, Herons, and Egrets","No special state or federal status code shown","Bitterns, Herons, and Egrets. Range: southwestern and southeastern Canada to Panama and the Caribbean Indiana listing: No special state or federal status code shown."
"PIPILO_CHLORURUS","Green-tailed Towhee","Pipilo chlorurus","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds highlands of western USA; winters to central Mexico Indiana listing: No special state or federal status code shown."
"ANAS_CRECCA","Green-winged Teal","Anas crecca","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds Holarctic; winters to Central America and the Caribbean, eastern Africa, and southern Asia Indiana listing: No special state or federal status code shown."
"CROTOPHAGA_SULCIROSTRIS","Groove-billed Ani","Crotophaga sulcirostris","Anis and Cuckoos","No special state or federal status code shown","Anis and Cuckoos. Range: southern Baja California; southern Texas through Central and South America (including Cura<U+00E7>ao and Trinidad) to northern Chile and northern Argentina Indiana listing: No special state or federal status code shown."
"GELOCHELIDON_NILOTICA","Gull-billed Tern","Gelochelidon nilotica","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: local yet widespread inland, rivers and lakes from southwestern Europe to northeastern China; coastal China; coastal western North Atlantic, and Caribbean; coastal southern California and Mexico; coastal South America and inland north-central Argentina; winters to subtropical and tropical coasts (including northern Australia), worldwide (except remote islands) Indiana listing: No special state or federal status code shown."
"FALCO_RUSTICOLUS","Gyrfalcon","Falco rusticolus","Falcons and Caracaras","No special state or federal status code shown","Falcons and Caracaras. Range: mountains and tundra of northern Palearctic region and northern North America Indiana listing: No special state or federal status code shown."
"LEUCONOTOPICUS_VILLOSUS","Hairy Woodpecker","Leuconotopicus villosus","Woodpeckers","No special state or federal status code shown","Woodpeckers. Range: mostly forest from central Alaska southward across North America to southern California and northern Baja California del Norte, in Mexico, to southern Arizona and New Mexico, and southward along the Sierra Madre Oriental and Occidental of Mexico southeastward across montane regions of Guatemala, Honduras, El Salvador, Nicaragua and Costa Rica to westernmost Panama; in North America eastward to Newfoundland and southward along the Atlantic Coast to southern Florida and the Bahamas  Indiana listing: No special state or federal status code shown."
"HISTRIONICUS_HISTRIONICUS","Harlequin Duck","Histrionicus histrionicus","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds eastern Siberia and northern Japan, Alaska southward to Oregon and Wyoming, eastern Canada (southeastern Baffin Island southward to the Gulf of St. Lawrence), Greenland and Iceland; winters coastally from Siberia to Japan and Korea, from Alaska to central California, to the northeastern USA, southern Greenland, and Iceland Indiana listing: No special state or federal status code shown."
"ZONOTRICHIA_QUERULA","Harris's Sparrow","Zonotrichia querula","Sparrows","No special state or federal status code shown","Sparrows. Range: breeds north-central Canada; winters to southern USA Indiana listing: No special state or federal status code shown."
"CENTRONYX_HENSLOWII","Henslow's Sparrow","Centronyx henslowii","Sparrows","Indiana State Endangered","Sparrows. Range: breeds tall grassland with forbs, including coastal marshes, in central and eastern USA from southeastern Minnesota eastward to New York State, and very locally in southern Ontario (southeastern Canada), southwards to northeastern Oklahoma and Maryland; winters in southern USA, from eastern Texas eastwards to southern North Carolina and Florida Indiana listing: Indiana State Endangered."
"CATHARUS_GUTTATUS","Hermit Thrush","Catharus guttatus","Thrushes","No special state or federal status code shown","Thrushes. Range: breeds in varied coniferous, mixed and deciduous forests, and woodland from western Alaska eastwards to southern Labrador (eastern Canada) and northeastern USA, southwards in mountains of western USA to southern California, with an isolated population in northern Baja California (northwestern Mexico), and far southwestern Texas, and in the Appalachian Mountains southwards to North Carolina (local); winters from coastal southwestern Canada southwards to Baja California, across southern half of the USA southwards to to central Guatemala, southern Florida, and the Bahamas (scarce)  Indiana listing: No special state or federal status code shown."
"LARUS_ARGENTATUS","Herring Gull","Larus argentatus","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: Range context unavailable in the matched Cornell record. Indiana listing: No special state or federal status code shown."
